"","HHID","PN","gender","race","edu","baselineage","couple1","couple2","couple3","lbcomp1","lbcomp2","lbcomp3","livarr1","livarr2","livarr3","mstat1","mstat2","mstat3","mobility1","mobility2","mobility3","wealth1","wealth2","wealth3","hhsize1","hhsize2","hhsize3","numchild1","numchild2","numchild3","haschild1","haschild2","haschild3","hasfriend1","hasfriend2","hasfriend3","livewithsp1","livewithsp2","livewithsp3","spsupport1","spsupport2","spsupport3","chsupport1","chsupport2","chsupport3","frsupport1","frsupport2","frsupport3","numclosechild1","numclosechild2","numclosechild3","closechild1","closechild2","closechild3","loneliness11.1","loneliness11.2","loneliness11.3","ccratio1","ccratio2","ccratio3","white","married1","married2","married3","deceased","all_frsupport_missing","all_loneliness_missing","exclude_from_analysis"
"7155","527545","010",0,2,14,56,1,1,1,1,1,5,1,1,1,1,1,2,0,0,0,4,4,3,2,2,2,5,5,5,1,1,NA,0,1,NA,1,1,NA,1.66666666666667,2.66666666666667,NA,4,4,NA,NA,3,NA,4,2,NA,3,2,NA,1.54545454545455,1.18181818181818,NA,0.571428571428571,0.285714285714286,NA,0,1,1,0,0,FALSE,FALSE,FALSE
"7156","527545","020",1,2,17,57,1,1,1,1,1,1,1,1,5,1,1,2,5,1,1,4,4,3,2,2,2,5,5,5,NA,NA,NA,NA,NA,0,NA,NA,NA,3.66666666666667,1.66666666666667,3.66666666666667,2.33333333333333,2.66666666666667,4,4,4,NA,7,2,2,3,2,2,1,1.45454545454545,1,1,0.285714285714286,0.285714285714286,0,1,1,0,0,FALSE,FALSE,FALSE
"7157","527574","020",1,1,16,55,1,1,1,1,5,1,1,1,1,1,1,1,0,0,0,5,5,5,3,2,2,2,2,2,1,NA,1,1,NA,1,1,NA,1,4,NA,4,4,NA,4,4,NA,4,2,NA,2,2,NA,2,1,NA,1.18181818181818,1,NA,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7158","527576","010",1,2,16,53,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,4,4,5,3,3,3,2,2,2,1,1,1,1,1,1,1,1,1,4,4,4,1.33333333333333,3.33333333333333,3,4,4,4,2,NA,2,2,NA,2,1.27272727272727,1.09090909090909,1.18181818181818,1,NA,1,0,1,1,1,0,FALSE,FALSE,FALSE
"7159","527576","020",0,2,NA,53,1,1,1,1,1,5,1,1,1,1,1,1,0,0,0,4,4,5,3,3,3,2,2,2,1,1,NA,1,1,NA,1,NA,NA,3,3.33333333333333,NA,1.66666666666667,3,NA,2,2,NA,2,2,NA,2,2,NA,1.27272727272727,1.09090909090909,NA,1,1,NA,0,1,1,1,0,FALSE,FALSE,FALSE
"7160","527590","010",0,1,12,58,1,1,1,1,1,1,1,1,1,1,1,1,0,0,2,5,5,5,3,3,3,2,2,2,1,1,1,1,1,1,1,NA,1,4,4,4,3.66666666666667,3.66666666666667,3,3.33333333333333,4,4,2,1,2,2,1,2,1,1.36363636363636,1,1,0.5,1,1,1,1,1,0,FALSE,FALSE,FALSE
"7161","527591","010",1,1,16,55,1,1,1,1,5,1,1,1,1,1,2,1,1,0,2,5,5,5,2,2,2,0,0,0,0,NA,0,1,NA,1,0,NA,1,NA,NA,4,NA,NA,NA,4,NA,3,NA,NA,NA,NA,NA,NA,1.18181818181818,NA,1.27272727272727,NA,NA,NA,1,1,0,1,0,FALSE,FALSE,FALSE
"7162","527618","020",1,1,14,50,1,1,1,1,1,5,1,1,1,2,2,2,1,2,2,4,2,2,2,3,2,2,1,3,0,NA,NA,1,NA,NA,1,NA,NA,3.33333333333333,4,NA,NA,2,NA,3.33333333333333,3.33333333333333,NA,NA,1,NA,NA,1,NA,1.45454545454545,2,NA,NA,1,NA,1,0,0,0,0,FALSE,FALSE,FALSE
"7163","527633","020",1,2,8,51,1,1,1,1,1,5,1,1,1,1,1,1,2,0,1,1,1,1,3,3,2,5,5,5,1,1,NA,1,1,NA,1,1,NA,4,4,NA,4,4,NA,4,4,NA,11,11,NA,3,3,NA,1.63636363636364,1.27272727272727,NA,1.375,1.375,NA,0,1,1,1,0,FALSE,FALSE,FALSE
"7164","527651","010",1,1,8,57,0,0,0,1,5,1,4,5,5,2,2,2,2,2,3,2,1,1,3,1,1,5,5,5,1,NA,1,1,NA,1,NA,NA,0,NA,NA,NA,3,NA,3,3.66666666666667,NA,4,6,NA,5,3,NA,3,2,NA,1.09090909090909,0.75,NA,0.625,1,0,0,0,0,FALSE,FALSE,FALSE
